Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
A,Agilent Technologies,36702328000,36.17,3.28,719000000,1.04,0.72,0.61%
AAL,American Airlines Gp,9335135000,0,-14.86,1686000000,1.82,0,0.00%
AAP,Advance Auto Parts Inc,10664771000,19,8.28,486900000,1.27,1,0.64%
AAPL,Apple Inc,2.22741E+12,39.7,3.27,57411000000,1.28,0.82,0.63%
ABBV,Abbvie Inc,1.88023E+11,10.76,9.8,7882000000,0.84,4.72,4.48%
ABC,Amerisourcebergen Corp,19967480000,12.22,7.9,-3408720000,0.57,1.76,1.82%
ABMD,Abiomed Inc,14578291000,85.6,3.7,203010000,1.41,0,0.00%
ABT,Abbott Laboratories,1.95775E+11,34.64,3.15,3687000000,0.83,1.44,1.32%
ACN,Accenture Plc,1.69939E+11,33.39,7.68,5107840000,1.08,3.52,1.37%
ADBE,Adobe Systems Inc,2.32995E+11,56.76,8.55,5260000000,0.97,0,0.00%
ADI,Analog Devices,54916556000,29.74,4.91,1220760000,1.31,2.48,1.70%
ADM,Archer Daniels Midland,28286816000,13.12,3.8,1379000000,0.85,1.44,2.89%
ADP,Automatic Data Procs,72250872000,28.21,5.99,2466500000,0.7,3.72,2.20%
ADSK,Autodesk Inc,66340516000,129.62,2.29,214500000,1.44,0,0.00%
AEE,Ameren Corp,18728402000,22.26,3.42,828000000,0.19,2.06,2.71%
AEP,American Electric Power Company,40420792000,19.55,4.17,1921100000,0.22,2.96,3.63%
AES,The Aes Corp,15976446000,17.74,1.31,303000000,0.86,0.57,2.47%
AFL,Aflac Inc,30387770000,8.8,4.91,3304000000,0.97,1.12,2.59%
AIG,American International Group,32522608000,14.23,2.61,3348000000,1.36,1.28,3.45%
AIZ,Assurant Inc,7765001000,14.6,9.05,382600000,0.61,2.64,2.00%
AJG,Arthur J. Gallagher & Company,22970940000,27.14,4.43,668800000,0.7,1.8,1.50%
AKAM,Akamai Technologies,17161744000,25.42,4.14,478040000,0.47,0,0.00%
ALB,Albemarle Corp,17345038000,32.61,4.68,533230000,1.59,1.54,1.01%
ALGN,Align Technology,42866800000,23.95,21.98,442780000,1.68,0,0.00%
ALK,Alaska Air Group,6165888000,0,-6.13,769000000,1.81,0,0.00%
ALL,Allstate Corp,32605212000,8.95,12.07,4847000000,0.81,2.16,2.00%
ALLE,Allegion Plc,10556874000,23.32,4.91,401800000,1.12,1.28,1.12%
ALXN,Alexion Pharm Inc,34437448000,13.67,11.47,2404300000,1.33,0,0.00%
AMAT,Applied Materials,81925216000,20.78,4.18,3619000000,1.48,0.88,1.01%
AMCR,Amcor Plc,17974804000,0,0.48,612200000,0.8,0.47,4.13%
AMD,Adv Micro Devices,1.11576E+11,103.71,0.89,341000000,2.29,0,0.00%
AME,Amtek Inc,27423748000,29.97,3.95,861300000,1.36,0.72,0.61%
AMGN,Amgen Inc,1.32595E+11,13.8,16.43,7842000000,0.76,6.4,2.82%
AMP,Ameriprise Financial Services,22063062000,11.39,16.52,1893000000,1.74,4.16,2.21%
AMT,American Tower Corp,98042256000,26.24,4.23,1887800000,0.25,4.84,2.20%
AMZN,Amazon.com Inc,1.61489E+12,93.31,34.15,11588000000,1.19,0,0.00%
ANET,Arista Networks Inc,21639804000,37.36,7.58,859870000,1.21,0,0.00%
ANSS,Ansys Inc,30903640000,74.51,4.8,451300000,1.23,0,0.00%
ANTM,Anthem Inc,78366632000,13.41,23.76,4807000000,1,3.8,1.19%
AON,AON Plc,46706248000,21.09,9.7,1532000000,0.83,1.84,0.90%
AOS,Smith A.O. Corp,8762869000,27.1,1.99,370000000,1.06,1.04,1.93%
APA,Apache Corp,6107595000,0,-0.95,-3553000000,4.87,0.1,0.68%
APD,Air Products and Chemicals,62422032000,32,8.38,1886700000,0.76,5.36,2.00%
APH,Amphenol Corp,39111524000,35.8,3.59,1155000000,1.25,1.16,0.90%
APTV,Aptiv Plc,36018636000,69.63,1.86,990000000,2.25,0,0.00%
ARE,Alexandria Real Estate Equities,23020098000,23.62,4.33,363170000,0.8,4.36,2.55%
ATO,Atmos Energy Corp,11672288000,19.84,4.74,601440000,0.3,2.5,2.66%
ATVI,Activision Blizzard,70090408000,27.08,3.32,1503000000,0.71,0.41,0.46%
AVB,Avalonbay Communities,21649168000,17.07,4.65,785970000,0.97,6.36,4.09%
AVGO,Broadcom Ltd,1.74114E+11,22.96,18.52,2960000000,1.05,14.4,3.39%
AVY,Avery Dennison Corp,12698720000,23.12,6.57,303600000,0.95,2.48,1.63%
AWK,American Water Works,27388388000,39.23,3.83,621000000,0.18,2.2,1.46%
AXP,American Express Company,95553320000,21.08,5.6,6759000000,1.36,1.72,1.46%
AZO,Autozone,26863584000,15.47,76.32,1732970000,0.83,0,0.00%
BA,Boeing Company,1.19471E+11,0,-10.21,-636000000,1.65,0,0.00%
BAC,Bank of America Corp,2.61773E+11,14.87,2.02,27430000000,1.59,0.72,2.40%
BAX,Baxter International Inc,41488636000,24.58,3.26,1001000000,0.65,0.98,1.22%
BBY,Best Buy Company,26153444000,13.69,7.34,1541000000,1.52,2.2,2.19%
BDX,Becton Dickinson and Company,73012576000,24.6,10.19,874000000,0.79,3.32,1.32%
BEN,Franklin Resources,12283204000,9.29,2.62,798900000,1.25,1.12,4.60%
BF.B,Brown Forman Inc Cl B,37281384000,47.29,1.65,827000000,0.76,0.72,0.92%
BIIB,Biogen Inc,37914988000,6.64,36.58,5888500000,0.53,0,0.00%
BIO,Bio-Rad Laboratories,17425176000,65.07,8.84,1758680000,0.83,0,0.00%
BK,Bank of New York Mellon Corp,37359492000,10.29,4.05,4441000000,1.07,1.24,2.97%
BKNG,Booking Holdings Inc,89612408000,75.85,28.53,4865000000,1.23,0,0.00%
BKR,Baker Hughes A Ge CO Cl A,22009562000,56.81,0.37,128000000,1.78,0.72,3.43%
BLK,Blackrock,1.08981E+11,22.21,32.01,4476000000,1.16,14.52,2.04%
BLL,Ball Corp,29642890000,31.38,2.86,566000000,0.46,0.6,0.67%
BMY,Bristol-Myers Squibb Company,1.39269E+11,9.9,6.2,3439000000,0.67,1.96,3.19%
BR,Broadridge Financial Solutions Llc,17541716000,28.43,5.33,462500000,0.83,2.3,1.52%
BRK.B,Berkshire Hathaway Cl B,5.33355E+11,25.96,8.8,81417000000,0.84,0,0.00%
BSX,Boston Scientific Corp,51892820000,29.64,1.19,4700000000,0.87,0,0.00%
BWA,Borgwarner Inc,9526460000,14.2,2.68,746000000,1.76,0.68,1.79%
BXP,Boston Properties,14023409000,13.38,6.4,521530000,1.24,3.92,4.32%
C,Citigroup Inc,1.28457E+11,12.37,4.86,19401000000,1.95,2.04,3.39%
CAG,Conagra Brands Inc,17371702000,14.11,2.55,840100000,0.86,1.1,3.06%
CAH,Cardinal Health,15586522000,9.3,5.69,-3696000000,1.03,1.94,3.67%
CARR,Carrier Global Corp [Carr/I],32882104000,0,1.35,2116000000,N/A,0.48,1.30%
CAT,Caterpillar Inc,99763904000,27.6,6.6,6093000000,0.97,4.12,2.26%
