Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",127.06,0.90000000000001,+0.71%,127.64,125.85,1577200,01/08/21
AAL,"American Airlines Gp",15.13,-0.25,-1.63%,15.53,15,55656301,01/08/21
AAP,"Advance Auto Parts Inc",170.06,2.39,+1.43%,171.07,168.1,864400,01/08/21
AAPL,"Apple Inc",132.05,1.13,+0.86%,132.63,130.23,105158195,01/08/21
ABBV,"Abbvie Inc",107.27,0.56,+0.52%,107.53,105.76,5345800,01/08/21
ABC,"Amerisourcebergen Corp",110.03,-0.099999999999994,-0.09%,112.48,109.54,1801000,01/08/21
ABMD,"Abiomed Inc",324.06,0.5,+0.15%,330.8,320.46,292600,01/08/21
ABT,"Abbott Laboratories",111.61,0.31,+0.28%,112.55,110.34,4242100,01/08/21
ACN,"Accenture Plc",264.16,0.96000000000004,+0.36%,266.53,261.29,2010600,01/08/21
ADBE,"Adobe Systems Inc",485.1,7.36,+1.54%,485.54,477.21,2266100,01/08/21
ADI,"Analog Devices",156.74,1.13,+0.73%,159.81,155.82,4204900,01/08/21
ADM,"Archer Daniels Midland",52.57,0.14,+0.27%,53.11,51.7,2909100,01/08/21
ADP,"Automatic Data Procs",171.05,2.2,+1.30%,172.38,168.31,2638600,01/08/21
ADSK,"Autodesk Inc",319.85,4.65,+1.48%,320.43,315.08,1196700,01/08/21
AEE,"Ameren Corp",75,0.76000000000001,+1.02%,75.13,74.1,1552700,01/08/21
AEP,"American Electric Power Company",79.18,-0.71,-0.89%,80.02,78.61,3059800,01/08/21
AES,"The Aes Corp",25.42,0.69,+2.79%,25.44,24.75,4479300,01/08/21
AFL,"Aflac Inc",44.49,-0.19,-0.43%,44.99,43.72,2915600,01/08/21
AIG,"American International Group",40.62,-0.27,-0.66%,41.12,40.01,5344800,01/08/21
AIZ,"Assurant Inc",138.61,-0.72999999999999,-0.52%,139.39,136.53,188600,01/08/21
AJG,"Arthur J. Gallagher & Company",120.85,-1.48,-1.21%,122.83,117.9,824100,01/08/21
AKAM,"Akamai Technologies",103.46,0.65,+0.63%,103.95,102.1,1974800,01/08/21
ALB,"Albemarle Corp",184.1,0.099999999999994,+0.05%,186.93,178.66,1659300,01/08/21
ALGN,"Align Technology",570.53,12.17,+2.18%,579.5,559,464200,01/08/21
ALK,"Alaska Air Group",50.98,-0.34,-0.66%,51.93,50.48,1043800,01/08/21
ALL,"Allstate Corp",109.95,-0.11999999999999,-0.11%,110.64,108.7,1260900,01/08/21
ALLE,"Allegion Plc",119.98,-0.42,-0.35%,121.33,118.09,530000,01/08/21
ALXN,"Alexion Pharm Inc",157.35,1.6,+1.03%,157.57,156.24,2861600,01/08/21
AMAT,"Applied Materials",95.56,1,+1.06%,97.8,94.88,9059700,01/08/21
AMCR,"Amcor Plc",11.5,-0.18,-1.54%,11.71,11.35,3717600,01/08/21
AMD,"Adv Micro Devices",94.58,-0.58,-0.61%,96.4,93.27,39816398,01/08/21
AME,"Amtek Inc",123.54,-0.86,-0.69%,125.32,122.04,675200,01/08/21
AMGN,"Amgen Inc",238.49,4.47,+1.91%,238.86,235.1,2511300,01/08/21
AMP,"Ameriprise Financial Services",201.55,1.42,+0.71%,201.63,198.52,545400,01/08/21
